Scorecard,First_Innings_Team,Second_Innings_Team,First_Innings_Score,Second_Innings_Score,Winner,Margin,Ground,Match_Date,Match_Year
ODI # 210,West Indies,India,282/9,"(53.1/60 ov, T:283) 216",West Indies,66 runs,The Oval,1983-06-15,1983
ODI # 211,Pakistan,Sri Lanka,235/7,"(58.3/60 ov, T:236) 224",Pakistan,11 runs,Leeds,1983-06-16,1983
ODI # 212,Australia,Zimbabwe,272/7,"(59.5/60 ov, T:273) 240",Australia,32 runs,Southampton,1983-06-16,1983
ODI # 213,Pakistan,England,232/8,(57.2/60 ov) 233/3,England,7 wickets,Manchester,1983-06-18,1983
ODI # 214,New Zealand,Sri Lanka,181,"(52.5/60 ov, T:182) 184/7",Sri Lanka,3 wickets,Derby,1983-06-18,1983
ODI # 215,Australia,West Indies,273/6,"(57.5/60 ov, T:274) 276/3",West Indies,7 wickets,Lord's,1983-06-18,1983
ODI # 216,India,Zimbabwe,266/8,"(57/60 ov, T:267) 235",India,31 runs,Tunbridge Wells,1983-06-18,1983
ODI # 217,Sri Lanka,England,136,(24.1/60 ov) 137/1,England,9 wickets,Leeds,1983-06-20,1983
ODI # 218,Pakistan,New Zealand,261/3,"(59.1/60 ov, T:262) 250",Pakistan,11 runs,Nottingham,1983-06-20,1983
ODI # 219,India,Australia,247,"(38.2/60 ov, T:248) 129",India,118 runs,Chelmsford,1983-06-20,1983
ODI # 220,Zimbabwe,West Indies,171,(45.1/60 ov) 172/0,West Indies,10 wickets,Birmingham,1983-06-20,1983
ODI # 221,England,India,213,"(54.4/60 ov, T:214) 217/4",India,6 wickets,Manchester,1983-06-22,1983
ODI # 222,Pakistan,West Indies,184/8,"(48.4/60 ov, T:185) 188/2",West Indies,8 wickets,The Oval,1983-06-22,1983
ODI # 223,India,West Indies,183,"(52/60 ov, T:184) 140",India,43 runs,Lord's,1983-06-25,1983
ODI # 224,Pakistan,India,151/8,(43/46 ov) 152/6,India,4 wickets,Hyderabad (Deccan),1983-09-10,1983
ODI # 225,Pakistan,India,166/9,"(40.4/46 ov, T:167) 169/6",India,4 wickets,Jaipur,1983-10-02,1983
ODI # 226,India,West Indies,176,"(22.4/22 ov, T:81) 108/0",West Indies,28 runs,Srinagar,1983-10-13,1983
ODI # 227,India,West Indies,214/6,"(47.5/49 ov, T:215) 217/6",West Indies,4 wickets,Vadodara,1983-11-09,1983
ODI # 228,India,West Indies,240/7,(45.2/47 ov) 241/2,West Indies,8 wickets,Indore,1983-12-01,1983
ODI # 229,West Indies,India,333/8,"(45/45 ov, T:334) 229/5",West Indies,104 runs,Jamshedpur,1983-12-07,1983
ODI # 230,India,West Indies,178/7,"(41.4/44 ov, T:179) 182/4",West Indies,6 wickets,Guwahati,1983-12-17,1983
ODI # 231,West Indies,Australia,221/7,"(46/50 ov, T:222) 194",West Indies,27 runs,Melbourne,1984-01-08,1984
