Scorecard,First_Innings_Team,Second_Innings_Team,First_Innings_Score,Second_Innings_Score,Winner,Margin,Ground,Match_Date,Match_Year
ODI # 1295,Zimbabwe,New Zealand,207/8,"(45.4/50 ov, T:208) 211/1",New Zealand,9 wickets,Napier,1998-03-06,1998
ODI # 1296,New Zealand,Zimbabwe,231/9,"(50 ov, T:232) 229/9",New Zealand,2 runs,Auckland,1998-03-08,1998
ODI # 1297,Zimbabwe,Pakistan,236/6,(47.4/50 ov) 237/6,Pakistan,4 wickets,Harare,1998-03-28,1998
ODI # 1298,Zimbabwe,Pakistan,272/4,"(46.4/50 ov, T:273) 276/6",Pakistan,4 wickets,Harare,1998-03-29,1998
ODI # 1299,England,West Indies,293/5,"(46.5/50 ov, T:294) 277",England,16 runs,Bridgetown,1998-03-29,1998
ODI # 1300,India,Australia,309/5,"(45.5/49 ov, T:310) 268",India,41 runs,Kochi,1998-04-01,1998
ODI # 1301,England,West Indies,266,(49.5/50 ov) 267/9,West Indies,1 wicket,Bridgetown,1998-04-01,1998
ODI # 1302,Australia,Zimbabwe,252/7,"(49.5/50 ov, T:253) 239",Australia,13 runs,Ahmedabad,1998-04-03,1998
ODI # 1303,South Africa,Pakistan,280/4,"(47.4/50 ov, T:281) 228",South Africa,52 runs,Durban,1998-04-03,1998
ODI # 1304,England,West Indies,209/8,"(48.1/50 ov, T:210) 213/5",West Indies,5 wickets,Kingstown,1998-04-04,1998
ODI # 1305,India,Zimbabwe,274/5,"(48.3/49 ov, T:275) 261",India,13 runs,Vadodara,1998-04-05,1998
ODI # 1306,South Africa,Sri Lanka,266/8,"(46.3/50 ov, T:267) 209",South Africa,57 runs,Johannesburg,1998-04-05,1998
ODI # 1307,England,West Indies,149,(37.4/50 ov) 150/6,West Indies,4 wickets,Kingstown,1998-04-05,1998
ODI # 1308,Australia,India,222/9,(44.3/50 ov) 223/4,India,6 wickets,Kanpur,1998-04-07,1998
ODI # 1309,Sri Lanka,Pakistan,295/7,"(48/50 ov, T:296) 300/6",Pakistan,4 wickets,Kimberley,1998-04-07,1998
ODI # 1310,West Indies,England,302/5,"(45.5/50 ov, T:303) 245",West Indies,57 runs,Port of Spain,1998-04-08,1998
ODI # 1311,India,Zimbabwe,301/3,"(48.4/50 ov, T:302) 269",India,32 runs,Cuttack,1998-04-09,1998
ODI # 1312,Pakistan,Sri Lanka,249,"(34.2/50 ov, T:250) 139",Pakistan,110 runs,Paarl,1998-04-09,1998
ODI # 1313,Australia,Zimbabwe,294/3,"(50 ov, T:295) 278/9",Australia,16 runs,Delhi,1998-04-11,1998
ODI # 1314,Pakistan,South Africa,250/8,"(46.2/50 ov, T:251) 254/7",South Africa,3 wickets,East London,1998-04-11,1998
ODI # 1315,South Africa,Sri Lanka,231,(46.4/50 ov) 232/4,Sri Lanka,6 wickets,Gqeberha,1998-04-13,1998
ODI # 1316,India,Australia,227,"(48.4/50 ov, T:228) 231/6",Australia,4 wickets,Delhi,1998-04-14,1998
ODI # 1317,Sri Lanka,Pakistan,288,"(39.2/50 ov, T:289) 173",Sri Lanka,115 runs,Benoni,1998-04-15,1998
ODI # 1318,Pakistan,South Africa,145,"(35.3/50 ov, T:146) 149/3",South Africa,7 wickets,Centurion,1998-04-17,1998
ODI # 1319,India,New Zealand,220/9,"(47.5/50 ov, T:221) 205",India,15 runs,Sharjah,1998-04-17,1998
ODI # 1320,New Zealand,Australia,159,(36.5/50 ov) 160/4,Australia,6 wickets,Sharjah,1998-04-18,1998
ODI # 1321,Sri Lanka,South Africa,105,(26.3/50 ov) 106/5,South Africa,5 wickets,Bloemfontein,1998-04-19,1998
ODI # 1322,Australia,India,264/9,"(44/50 ov, T:265) 206",Australia,58 runs,Sharjah,1998-04-19,1998
ODI # 1323,India,New Zealand,181,"(49/50 ov, T:182) 183/6",New Zealand,4 wickets,Sharjah,1998-04-20,1998
ODI # 1324,New Zealand,Australia,259/5,"(47.5/50 ov, T:260) 261/5",Australia,5 wickets,Sharjah,1998-04-21,1998
ODI # 1325,Australia,India,284/7,"(46/46 ov, T:276) 250/5",Australia,26 runs,Sharjah,1998-04-22,1998
ODI # 1326,Pakistan,South Africa,114,(27.4/50 ov) 115/1,South Africa,9 wickets,Cape Town,1998-04-23,1998
ODI # 1327,Australia,India,272/9,"(48.3/50 ov, T:273) 275/4",India,6 wickets,Sharjah,1998-04-24,1998
ODI # 1328,Bangladesh,India,184/9,(45.2/50 ov) 185/5,India,5 wickets,Mohali,1998-05-14,1998
ODI # 1329,Kenya,Bangladesh,236,(48/50 ov) 237/4,Bangladesh,6 wickets,Hyderabad (Deccan),1998-05-17,1998
ODI # 1330,Kenya,India,223/9,(47/50 ov) 224/6,India,4 wickets,Bengaluru,1998-05-20,1998
ODI # 1331,England,South Africa,223/9,(48.4/50 ov) 224/7,South Africa,3 wickets,The Oval,1998-05-21,1998
ODI # 1333,Kenya,Bangladesh,226/8,"(46.2/49 ov, T:226) 198",Kenya,28 runs,Chennai,1998-05-23,1998
ODI # 1332,South Africa,England,226/9,"(46.4/50 ov, T:227) 194",South Africa,32 runs,Manchester,1998-05-23,1998
ODI # 1334,South Africa,England,205/8,(35/50 ov) 206/3,England,7 wickets,Leeds,1998-05-24,1998
ODI # 1335,Bangladesh,India,115,(29.2/50 ov) 116/5,India,5 wickets,Wankhede,1998-05-25,1998
ODI # 1336,Kenya,India,265/5,"(47.1/50 ov, T:266) 196",Kenya,69 runs,Gwalior,1998-05-28,1998
ODI # 1337,Kenya,India,196,(35/50 ov) 197/1,India,9 wickets,Kolkata,1998-05-31,1998
ODI # 1338,Sri Lanka,India,243/6,"(43.4/50 ov, T:244) 246/2",India,8 wickets,Colombo (RPS),1998-06-19,1998
ODI # 1339,New Zealand,Sri Lanka,200/9,(40/50 ov) 201/3,Sri Lanka,7 wickets,Colombo (RPS),1998-06-21,1998
ODI # 1341,Sri Lanka,India,171/8,"(35.4/36 ov, T:172) 163",Sri Lanka,8 runs,Colombo (SSC),1998-07-01,1998
ODI # 1343,Sri Lanka,New Zealand,293/4,"(39.1/50 ov, T:294) 206",Sri Lanka,87 runs,Colombo (SSC),1998-07-05,1998
ODI # 1344,India,Sri Lanka,307/6,"(49.3/50 ov, T:308) 301",India,6 runs,Colombo (RPS),1998-07-07,1998
ODI # 1345,Sri Lanka,South Africa,258,"(49/50 ov, T:259) 201",Sri Lanka,57 runs,Nottingham,1998-08-14,1998
ODI # 1346,England,Sri Lanka,247,"(49.3/50 ov, T:248) 211",England,36 runs,Lord's,1998-08-16,1998
ODI # 1347,South Africa,England,244/7,"(48.5/50 ov, T:245) 230",South Africa,14 runs,Birmingham,1998-08-18,1998
ODI # 1348,England,Sri Lanka,256/8,"(47.1/50 ov, T:257) 260/5",Sri Lanka,5 wickets,Lord's,1998-08-20,1998
ODI # 1349,Pakistan,India,189/9,"(43.4/50 ov, T:190) 193/4",India,6 wickets,Toronto,1998-09-12,1998
ODI # 1350,Pakistan,India,246/9,"(46.3/50 ov, T:247) 195",Pakistan,51 runs,Toronto,1998-09-13,1998
ODI # 1351,Pakistan,India,257/5,"(46.2/50 ov, T:258) 180",Pakistan,77 runs,Toronto,1998-09-16,1998
ODI # 1352,Pakistan,India,316/6,"(46.3/50 ov, T:317) 182",Pakistan,134 runs,Toronto,1998-09-19,1998
ODI # 1353,India,Pakistan,256/9,"(48.2/50 ov, T:257) 258/5",Pakistan,5 wickets,Toronto,1998-09-20,1998
ODI # 1354,Zimbabwe,India,213,"(42.2/50 ov, T:214) 216/2",India,8 wickets,Bulawayo,1998-09-26,1998
ODI # 1355,Zimbabwe,India,235/7,(41.5/45 ov) 236/2,India,8 wickets,Bulawayo,1998-09-27,1998
ODI # 1356,Zimbabwe,India,259/5,"(47.2/50 ov, T:260) 222",Zimbabwe,37 runs,Harare,1998-09-30,1998
ODI # 1357,Zimbabwe,New Zealand,258/7,"(50 ov, T:259) 260/5",New Zealand,5 wickets,Dhaka,1998-10-24,1998
ODI # 1358,England,South Africa,281/7,"(46.4/50 ov, T:282) 283/4",South Africa,6 wickets,Dhaka,1998-10-25,1998
ODI # 1359,New Zealand,Sri Lanka,188,"(41.3/50 ov, T:189) 191/5",Sri Lanka,5 wickets,Dhaka,1998-10-26,1998
ODI # 1360,India,Australia,307/8,"(48.1/50 ov, T:308) 263",India,44 runs,Dhaka,1998-10-28,1998
ODI # 1361,West Indies,Pakistan,289/9,"(50 ov, T:290) 259/9",West Indies,30 runs,Dhaka,1998-10-29,1998
ODI # 1362,South Africa,Sri Lanka,240/7,"(23.4/34 ov, T:224) 132",South Africa,92 runs,Dhaka,1998-10-30,1998
ODI # 1363,India,West Indies,242/6,"(47/50 ov, T:243) 245/4",West Indies,6 wickets,Dhaka,1998-10-31,1998
ODI # 1364,West Indies,South Africa,245,"(47/50 ov, T:246) 248/6",South Africa,4 wickets,Dhaka,1998-11-01,1998
ODI # 1365,Australia,Pakistan,324/8,"(47.2/50 ov, T:325) 238",Australia,86 runs,Karachi,1998-11-06,1998
ODI # 1366,Sri Lanka,India,245/7,"(49.1/50 ov, T:246) 248/7",India,3 wickets,Sharjah,1998-11-06,1998
ODI # 1367,Sri Lanka,Zimbabwe,196,(46.1/50 ov) 197/3,Zimbabwe,7 wickets,Sharjah,1998-11-07,1998
ODI # 1368,Pakistan,Australia,217/7,"(48.1/50 ov, T:218) 220/5",Australia,5 wickets,Peshawar,1998-11-08,1998
ODI # 1369,Zimbabwe,India,196,(40.4/50 ov) 197/3,India,7 wickets,Sharjah,1998-11-08,1998
ODI # 1370,India,Sri Lanka,179,"(39/50 ov, T:180) 98",India,81 runs,Sharjah,1998-11-09,1998
ODI # 1371,Pakistan,Australia,315/8,(48.5/50 ov) 316/4,Australia,6 wickets,Lahore,1998-11-10,1998
ODI # 1372,Zimbabwe,Sri Lanka,259/7,"(48.5/50 ov, T:260) 235",Zimbabwe,24 runs,Sharjah,1998-11-10,1998
ODI # 1373,Zimbabwe,India,205/7,"(47.4/50 ov, T:206) 192",Zimbabwe,13 runs,Sharjah,1998-11-11,1998
ODI # 1374,Zimbabwe,India,196/9,(30/50 ov) 197/0,India,10 wickets,Sharjah,1998-11-13,1998
ODI # 1375,Zimbabwe,Pakistan,237,"(47.4/50 ov, T:238) 241/6",Pakistan,4 wickets,Gujranwala,1998-11-20,1998
ODI # 1376,Pakistan,Zimbabwe,211,(40.4/50 ov) 212/4,Zimbabwe,6 wickets,Sheikhupura,1998-11-22,1998
ODI # 1377,Pakistan,Zimbabwe,302/6,"(37.2/50 ov, T:303) 191",Pakistan,111 runs,Rawalpindi,1998-11-24,1998
ODI # 1378,India,New Zealand,257/5,(38/39 ov) 200/5,New Zealand,5 wickets,Taupo,1999-01-09,1999
ODI # 1379,England,Australia,178/8,"(36/36 ov, T:153) 145/9",England,7 runs,Brisbane,1999-01-10,1999
ODI # 1380,Sri Lanka,England,207/7,(49.3/50 ov) 208/6,England,4 wickets,Brisbane,1999-01-11,1999
ODI # 1381,New Zealand,India,213,(49.5/50 ov) 214/8,India,2 wickets,Napier,1999-01-12,1999
ODI # 1382,Sri Lanka,Australia,259/9,(46.1/50 ov) 260/2,Australia,8 wickets,Sydney,1999-01-13,1999
ODI # 1384,England,Australia,178,"(39.2/50 ov, T:179) 182/1",Australia,9 wickets,Melbourne,1999-01-15,1999
ODI # 1385,New Zealand,India,207/7,(43.5/50 ov) 208/5,India,5 wickets,Auckland,1999-01-16,1999
ODI # 1386,England,Australia,282/4,"(50 ov, T:283) 275/6",England,7 runs,Sydney,1999-01-17,1999
ODI # 1387,New Zealand,India,300/8,"(45.3/50 ov, T:301) 230",New Zealand,70 runs,Christchurch,1999-01-19,1999
ODI # 1388,Sri Lanka,England,186,"(45.2/50 ov, T:187) 189/3",England,7 wickets,Melbourne,1999-01-19,1999
ODI # 1389,Australia,Sri Lanka,210/9,(49.3/50 ov) 211/7,Sri Lanka,3 wickets,Hobart,1999-01-21,1999
ODI # 1390,West Indies,South Africa,154/4,(27/27 ov) 160/8,South Africa,2 wickets,Johannesburg,1999-01-22,1999
ODI # 1391,England,Sri Lanka,302/3,(49.4/50 ov) 303/9,Sri Lanka,1 wicket,Adelaide,1999-01-23,1999
ODI # 1392,Australia,Sri Lanka,270,"(41.4/50 ov, T:271) 190",Australia,80 runs,Adelaide,1999-01-24,1999
ODI # 1393,West Indies,South Africa,292/9,"(46.5/50 ov, T:293) 249",West Indies,43 runs,East London,1999-01-24,1999
ODI # 1394,Australia,England,239/8,"(48.3/50 ov, T:240) 223",Australia,16 runs,Adelaide,1999-01-26,1999
ODI # 1395,South Africa,West Indies,274/9,"(43.1/50 ov, T:275) 219",South Africa,55 runs,Durban,1999-01-27,1999
ODI # 1396,England,Sri Lanka,227/7,"(33.3/50 ov, T:228) 99",England,128 runs,Perth,1999-01-29,1999
ODI # 1397,South Africa,West Indies,278/6,"(41.3/50 ov, T:279) 179",South Africa,99 runs,Gqeberha,1999-01-30,1999
ODI # 1398,Australia,Sri Lanka,274/7,"(46.3/50 ov, T:275) 229",Australia,45 runs,Perth,1999-01-31,1999
ODI # 1399,South Africa,West Indies,221/8,"(42.4/50 ov, T:222) 132",South Africa,89 runs,Cape Town,1999-02-02,1999
ODI # 1400,Sri Lanka,England,181/7,"(44/44 ov, T:182) 170/9",Sri Lanka,11 runs,Sydney,1999-02-03,1999
ODI # 1401,England,Australia,210/8,(47/50 ov) 211/6,Australia,4 wickets,Sydney,1999-02-05,1999
ODI # 1402,South Africa,West Indies,273,"(40.3/50 ov, T:274) 159",South Africa,114 runs,Bloemfontein,1999-02-05,1999
ODI # 1403,Australia,Sri Lanka,310/8,"(47.1/50 ov, T:311) 267",Australia,43 runs,Melbourne,1999-02-07,1999
ODI # 1404,South Africa,West Indies,226/8,"(44.5/50 ov, T:227) 176",South Africa,50 runs,Centurion,1999-02-07,1999
ODI # 1405,Australia,England,232/8,"(49.2/50 ov, T:233) 222",Australia,10 runs,Sydney,1999-02-10,1999
ODI # 1406,Australia,England,272/5,"(31.5/50 ov, T:273) 110",Australia,162 runs,Melbourne,1999-02-13,1999
ODI # 1407,South Africa,New Zealand,211,"(49.1/50 ov, T:212) 215/7",New Zealand,3 wickets,Dunedin,1999-02-14,1999
ODI # 1408,New Zealand,South Africa,220/9,"(43/50 ov, T:221) 224/3",South Africa,7 wickets,Christchurch,1999-02-17,1999
ODI # 1409,South Africa,New Zealand,212/7,"(43.1/50 ov, T:213) 215/3",New Zealand,7 wickets,Auckland,1999-02-20,1999
ODI # 1410,Pakistan,Bangladesh,293/7,"(40.5/50 ov, T:294) 141",Pakistan,152 runs,Dhaka,1999-03-16,1999
ODI # 1411,Pakistan,Sri Lanka,246/9,"(49.3/50 ov, T:247) 237",Pakistan,9 runs,Jamshedpur,1999-03-19,1999
ODI # 1412,Zimbabwe,Kenya,272/6,"(44/50 ov, T:273) 139",Zimbabwe,133 runs,Dhaka,1999-03-19,1999
ODI # 1413,Bangladesh,Kenya,213,"(43.5/50 ov, T:214) 215/2",Kenya,8 wickets,Dhaka,1999-03-20,1999
ODI # 1414,Zimbabwe,Bangladesh,310/6,"(42.2/50 ov, T:311) 184",Zimbabwe,126 runs,Dhaka,1999-03-21,1999
ODI # 1415,India,Sri Lanka,287/4,"(38/50 ov, T:288) 207",India,80 runs,Nagpur,1999-03-22,1999
ODI # 1416,Zimbabwe,Kenya,280/6,"(50 ov, T:281) 216/8",Zimbabwe,64 runs,Dhaka,1999-03-23,1999
ODI # 1417,Pakistan,India,278/9,"(36.1/50 ov, T:279) 135",Pakistan,143 runs,Jaipur,1999-03-24,1999
ODI # 1418,Kenya,Bangladesh,231,"(41.4/50 ov, T:232) 158",Kenya,73 runs,Dhaka,1999-03-24,1999
ODI # 1420,Bangladesh,Zimbabwe,257/5,"(49.3/50 ov, T:258) 261/7",Zimbabwe,3 wickets,Dhaka,1999-03-25,1999
ODI # 1421,New Zealand,South Africa,191,"(40/40 ov, T:192) 194/8",South Africa,2 wickets,Napier,1999-03-26,1999
ODI # 1422,South Africa,New Zealand,290/5,"(36.1/50 ov, T:291) 147",South Africa,143 runs,Auckland,1999-03-27,1999
ODI # 1423,Sri Lanka,Pakistan,253/8,"(46.3/48 ov, T:254) 241",Sri Lanka,12 runs,Visakhapatnam,1999-03-27,1999
ODI # 1424,Zimbabwe,Kenya,325/6,"(36.5/50 ov, T:326) 123",Zimbabwe,202 runs,Dhaka,1999-03-27,1999
ODI # 1426,India,Sri Lanka,286/6,"(45.5/50 ov, T:287) 235",India,51 runs,Pune,1999-03-30,1999
ODI # 1427,India,Pakistan,196,(42/47 ov) 197/3,Pakistan,7 wickets,Mohali,1999-04-01,1999
ODI # 1428,Pakistan,India,291/8,"(42.1/50 ov, T:292) 168",Pakistan,123 runs,Bengaluru,1999-04-04,1999
ODI # 1429,Pakistan,England,323/5,"(45.5/50 ov, T:324) 233",Pakistan,90 runs,Sharjah,1999-04-07,1999
ODI # 1430,Pakistan,India,279/8,"(50 ov, T:280) 163/6",Pakistan,116 runs,Sharjah,1999-04-08,1999
ODI # 1431,India,England,222/5,"(47.5/50 ov, T:223) 202",India,20 runs,Sharjah,1999-04-09,1999
ODI # 1432,India,England,239/6,"(48.5/50 ov, T:240) 230",India,9 runs,Sharjah,1999-04-11,1999
ODI # 1433,West Indies,Australia,209,"(41.5/47 ov, T:210) 165",West Indies,44 runs,Kingstown,1999-04-11,1999
ODI # 1434,England,Pakistan,206,"(40.2/48 ov, T:207) 144",England,62 runs,Sharjah,1999-04-12,1999
ODI # 1435,Pakistan,India,205/9,(48.1/50 ov) 206/4,India,6 wickets,Sharjah,1999-04-13,1999
ODI # 1436,Australia,West Indies,288/4,"(47.3/50 ov, T:289) 242",Australia,46 runs,St George's,1999-04-14,1999
ODI # 1437,India,Pakistan,125,"(28/50 ov, T:126) 129/2",Pakistan,8 wickets,Sharjah,1999-04-16,1999
ODI # 1438,Australia,West Indies,242/7,"(49/50 ov, T:243) 244/5",West Indies,5 wickets,Port of Spain,1999-04-17,1999
ODI # 1439,Australia,West Indies,189/9,"(46.2/50 ov, T:190) 169",Australia,20 runs,Port of Spain,1999-04-18,1999
ODI # 1441,West Indies,Australia,249/8,"(48.3/50 ov, T:250) 253/6",Australia,4 wickets,Bridgetown,1999-04-24,1999
ODI # 1442,Australia,West Indies,252/9,"(37/40 ov, T:196) 197/2",West Indies,8 wickets,Bridgetown,1999-04-25,1999
ODI # 1443,Sri Lanka,England,204,"(46.5/50 ov, T:205) 207/2",England,8 wickets,Lord's,1999-05-14,1999
ODI # 1444,India,South Africa,253/5,(47.2/50 ov) 254/6,South Africa,4 wickets,Hove,1999-05-15,1999
ODI # 1445,Kenya,Zimbabwe,229/7,"(41/50 ov, T:230) 231/5",Zimbabwe,5 wickets,Taunton,1999-05-15,1999
ODI # 1446,Scotland,Australia,181/7,(44.5/50 ov) 182/4,Australia,6 wickets,Worcester,1999-05-16,1999
ODI # 1447,Pakistan,West Indies,229/8,"(48.5/50 ov, T:230) 202",Pakistan,27 runs,Bristol,1999-05-16,1999
ODI # 1448,Bangladesh,New Zealand,116,(33/50 ov) 117/4,New Zealand,6 wickets,Chelmsford,1999-05-17,1999
ODI # 1449,Kenya,England,203,(39/50 ov) 204/1,England,9 wickets,Canterbury,1999-05-18,1999
ODI # 1450,Zimbabwe,India,252/9,"(45/46 ov, T:253) 249",Zimbabwe,3 runs,Leicester,1999-05-19,1999
ODI # 1451,South Africa,Sri Lanka,199/9,"(35.2/50 ov, T:200) 110",South Africa,89 runs,Northampton,1999-05-19,1999
ODI # 1452,Australia,New Zealand,213/8,(45.2/50 ov) 214/5,New Zealand,5 wickets,Cardiff,1999-05-20,1999
ODI # 1453,Pakistan,Scotland,261/6,"(38.5/49 ov, T:262) 167",Pakistan,94 runs,Chester-le-Street,1999-05-20,1999
ODI # 1454,Bangladesh,West Indies,182,(46.3/50 ov) 183/3,West Indies,7 wickets,Dublin,1999-05-21,1999
ODI # 1455,South Africa,England,225/7,"(41/50 ov, T:226) 103",South Africa,122 runs,The Oval,1999-05-22,1999
ODI # 1456,Zimbabwe,Sri Lanka,197/9,(46/50 ov) 198/6,Sri Lanka,4 wickets,Worcester,1999-05-22,1999
ODI # 1457,India,Kenya,329/2,"(50 ov, T:330) 235/7",India,94 runs,Bristol,1999-05-23,1999
ODI # 1458,Pakistan,Australia,275/8,"(49.5/50 ov, T:276) 265",Pakistan,10 runs,Leeds,1999-05-23,1999
ODI # 1459,Bangladesh,Scotland,185/9,"(46.2/49 ov, T:186) 163",Bangladesh,22 runs,Edinburgh,1999-05-24,1999
ODI # 1460,New Zealand,West Indies,156,"(44.2/50 ov, T:157) 158/3",West Indies,7 wickets,Southampton,1999-05-24,1999
ODI # 1461,Zimbabwe,England,167/8,(38.3/50 ov) 168/3,England,7 wickets,Nottingham,1999-05-25,1999
ODI # 1462,Kenya,South Africa,152,(41/50 ov) 153/3,South Africa,7 wickets,Amstelveen,1999-05-26,1999
ODI # 1463,India,Sri Lanka,373/6,"(42.3/50 ov, T:374) 216",India,157 runs,Taunton,1999-05-26,1999
ODI # 1464,Bangladesh,Australia,178/7,"(19.5/50 ov, T:179) 181/3",Australia,7 wickets,Chester-le-Street,1999-05-27,1999
ODI # 1465,Scotland,West Indies,68,"(10.1/50 ov, T:69) 70/2",West Indies,8 wickets,Leicester,1999-05-27,1999
ODI # 1466,Pakistan,New Zealand,269/8,"(50 ov, T:270) 207/8",Pakistan,62 runs,Derby,1999-05-28,1999
ODI # 1467,India,England,232/8,"(45.2/50 ov, T:233) 169",India,63 runs,Birmingham,1999-05-29,1999
ODI # 1468,Zimbabwe,South Africa,233/6,"(47.2/50 ov, T:234) 185",Zimbabwe,48 runs,Chelmsford,1999-05-29,1999
ODI # 1469,Sri Lanka,Kenya,275/8,"(50 ov, T:276) 230/6",Sri Lanka,45 runs,Southampton,1999-05-30,1999
ODI # 1470,West Indies,Australia,110,(40.4/50 ov) 111/4,Australia,6 wickets,Manchester,1999-05-30,1999
ODI # 1471,Bangladesh,Pakistan,223/9,"(44.3/49 ov, T:224) 161",Bangladesh,62 runs,Northampton,1999-05-31,1999
ODI # 1472,Scotland,New Zealand,121,"(17.5/50 ov, T:122) 123/4",New Zealand,6 wickets,Edinburgh,1999-05-31,1999
ODI # 1473,Australia,India,282/6,"(48.2/50 ov, T:283) 205",Australia,77 runs,The Oval,1999-06-04,1999
ODI # 1474,Pakistan,South Africa,220/7,(49/50 ov) 221/7,South Africa,3 wickets,Nottingham,1999-06-05,1999
ODI # 1476,India,Pakistan,227/6,"(45.3/50 ov, T:228) 180",India,47 runs,Manchester,1999-06-08,1999
ODI # 1477,Australia,Zimbabwe,303/4,"(50 ov, T:304) 259/6",Australia,44 runs,Lord's,1999-06-09,1999
ODI # 1478,South Africa,New Zealand,287/5,"(50 ov, T:288) 213/8",South Africa,74 runs,Birmingham,1999-06-10,1999
ODI # 1479,Pakistan,Zimbabwe,271/9,"(40.3/49 ov, T:272) 123",Pakistan,148 runs,The Oval,1999-06-11,1999
ODI # 1480,India,New Zealand,251/6,"(48.2/50 ov, T:252) 253/5",New Zealand,5 wickets,Nottingham,1999-06-12,1999
ODI # 1481,South Africa,Australia,271/7,(49.4/50 ov) 272/5,Australia,5 wickets,Leeds,1999-06-13,1999
ODI # 1482,New Zealand,Pakistan,241/7,(47.3/50 ov) 242/1,Pakistan,9 wickets,Manchester,1999-06-16,1999
ODI # 1484,Pakistan,Australia,132,(20.1/50 ov) 133/2,Australia,8 wickets,Lord's,1999-06-20,1999
ODI # 1485,Australia,Sri Lanka,205/9,"(37.4/43 ov, T:211) 160",Australia,50 runs,Galle,1999-08-22,1999
ODI # 1486,India,Australia,151/7,(29.1/38 ov) 159/2,Australia,8 wickets,Galle,1999-08-23,1999
ODI # 1487,India,Sri Lanka,205/8,(46.4/50 ov) 206/3,Sri Lanka,7 wickets,Colombo (RPS),1999-08-25,1999
ODI # 1488,Australia,Sri Lanka,241/9,"(47.1/50 ov, T:242) 214",Australia,27 runs,Colombo (RPS),1999-08-26,1999
ODI # 1489,Australia,India,252/8,"(48.3/49 ov, T:253) 211",Australia,41 runs,Colombo (SSC),1999-08-28,1999
ODI # 1490,India,Sri Lanka,296/4,"(42/42 ov, T:271) 247/9",India,23 runs,Colombo (SSC),1999-08-29,1999
ODI # 1491,Australia,Sri Lanka,202,"(39.3/50 ov, T:203) 208/2",Sri Lanka,8 wickets,Colombo (RPS),1999-08-31,1999
ODI # 1492,Zimbabwe,West Indies,244/9,"(43.4/50 ov, T:245) 247/4",West Indies,6 wickets,Singapore,1999-09-02,1999
ODI # 1493,India,Zimbabwe,245/6,"(29/29 ov, T:246) 130/8",India,115 runs,Singapore,1999-09-04,1999
ODI # 1494,West Indies,India,196/7,"(30/30 ov, T:197) 154/8",West Indies,42 runs,Singapore,1999-09-05,1999
ODI # 1496,India,West Indies,254/6,(47.4/50 ov) 255/6,West Indies,4 wickets,Singapore,1999-09-08,1999
ODI # 1497,West Indies,India,163,"(37.3/50 ov, T:164) 165/2",India,8 wickets,Toronto,1999-09-11,1999
ODI # 1498,West Indies,India,190/6,"(41.5/50 ov, T:191) 120",West Indies,70 runs,Toronto,1999-09-12,1999
ODI # 1499,India,West Indies,225/7,"(34.2/50 ov, T:226) 137",India,88 runs,Toronto,1999-09-14,1999
ODI # 1500,Pakistan,West Indies,230/6,"(50 ov, T:231) 215/9",Pakistan,15 runs,Toronto,1999-09-16,1999
ODI # 1501,Pakistan,West Indies,222/5,"(46.2/50 ov, T:223) 180",Pakistan,42 runs,Toronto,1999-09-18,1999
ODI # 1502,West Indies,Pakistan,161,(39.4/50 ov) 162/3,Pakistan,7 wickets,Toronto,1999-09-19,1999
ODI # 1503,Kenya,Zimbabwe,199/8,(49.2/50 ov) 200/7,Zimbabwe,3 wickets,Nairobi (Gym),1999-09-25,1999
ODI # 1504,South Africa,India,117,"(22.4/50 ov, T:118) 120/2",India,8 wickets,Nairobi (Gym),1999-09-26,1999
ODI # 1505,Zimbabwe,South Africa,216,(35/50 ov) 217/1,South Africa,9 wickets,Nairobi (Gym),1999-09-28,1999
ODI # 1506,India,Kenya,220/7,"(50 ov, T:221) 162",India,58 runs,Nairobi (Gym),1999-09-29,1999
ODI # 1507,South Africa,Kenya,220/7,"(48.1/50 ov, T:221) 196",South Africa,24 runs,Nairobi (Gym),1999-09-30,1999
ODI # 1508,India,Zimbabwe,277/6,"(38.3/50 ov, T:278) 170",India,107 runs,Nairobi (Gym),1999-10-01,1999
ODI # 1509,South Africa,India,235/9,"(47.3/50 ov, T:236) 209",South Africa,26 runs,Nairobi (Gym),1999-10-03,1999
ODI # 1510,West Indies,Bangladesh,292/6,"(50 ov, T:293) 219/5",West Indies,73 runs,Dhaka,1999-10-08,1999
ODI # 1511,West Indies,Bangladesh,314/6,"(49.1/50 ov, T:315) 205",West Indies,109 runs,Dhaka,1999-10-09,1999
ODI # 1512,Sri Lanka,West Indies,178,"(49.2/50 ov, T:179) 181/7",West Indies,3 wickets,Sharjah,1999-10-13,1999
ODI # 1513,Pakistan,West Indies,260/5,"(34.4/50 ov, T:261) 130",Pakistan,130 runs,Sharjah,1999-10-14,1999
ODI # 1515,West Indies,Sri Lanka,145,(28/50 ov) 146/1,Sri Lanka,9 wickets,Sharjah,1999-10-17,1999
ODI # 1516,Pakistan,Sri Lanka,239/8,"(33.4/50 ov, T:240) 121",Pakistan,118 runs,Sharjah,1999-10-18,1999
ODI # 1517,Pakistan,West Indies,255/5,"(31.3/50 ov, T:256) 117",Pakistan,138 runs,Sharjah,1999-10-19,1999
ODI # 1518,Australia,Zimbabwe,303/6,"(43.4/50 ov, T:304) 220",Australia,83 runs,Bulawayo,1999-10-21,1999
